MONTHLY INTEREST RATES,,,,,,,,,,,,,,,,,,,ACCESS DAILY SHARES,,,,,,CAL DAILY SHARES,
Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
2022,Inter-Bank Exchange Rate - Month Average (GHC/GBP),8.1501,8.5369,9.2829,9.1894,8.8663,8.8565,8.8682,9.6484,9.888,12.6356,15.3598,12.2393,,,,,16/11/2023,ACCESS,10.20,,,,16/11/2023,CAL,"1,032.75"
2021,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.8542,7.9828,7.9365,7.9329,8.0839,8.0673,7.9926,8.0355,8.0491,8.0553,7.9464,7.9145,,,,,15/11/2023,ACCESS,136.00,,,,15/11/2023,CAL,419.73
2020,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.2204,6.8954,6.6142,6.8451,6.9,7.066,7.1854,7.4652,7.3846,7.4076,7.5457,7.6876,,,,,14/11/2023,ACCESS,340.00,,,,14/11/2023,CAL,"2,948.82"
2019,Inter-Bank Exchange Rate - Month Average (GHC/GBP),6.3142,6.5237,6.8237,6.6289,6.5582,6.6423,6.5538,6.4084,6.5527,6.7345,6.9414,7.261,,,,,13/11/2023,ACCESS,"18,424.60",,,,13/11/2023,CAL,"3,610.80"
,,,,,,,,,,,,,,,,,,10/11/2023,ACCESS,0.00,,,,10/11/2023,CAL,622.71
,,,,,,,,,,,,,,,,,,09/11/2023,ACCESS,"34,241.40",,,,09/11/2023,CAL,"20,147.04"
,,,,,,,,,,,,,,,,,,08/11/2023,ACCESS,"3,808.20",,,,08/11/2023,CAL,"2,677.50"
,GCB DAILY SHARES,,,,,,SCB DAILY SHARES ,,,,,,SOGEGH DAILY SHARES,,,,,07/11/2023,ACCESS,112.20,,,,07/11/2023,CAL,"12,824.46"
,,,,,,,,,,,,,,,,,,06/11/2023,ACCESS,"17,017.00",,,,06/11/2023,CAL,"5,928.45"
Daily Date,Share Code,Total Value Traded (GH¢),,,,,,,,,,Daily Date,Share Code,Total Value Traded (GH¢),,,,03/11/2023,ACCESS,258.40,,,,03/11/2023,CAL,687.50
29/12/2023,GCB,0.00,,,,Daily date,Share Code,Total Value Traded (GH¢),,,,29/12/2023,SOGEGH,0.00,,,,02/11/2023,ACCESS,"69,438.20",,,,02/11/2023,CAL,"11,424.60"
28/12/2023,GCB,"7,187.60",,,,29/12/2023,SCB,0.00,,,,28/12/2023,SOGEGH,0.00,,,,01/11/2023,ACCESS,0.00,,,,01/11/2023,CAL,"1,650.00"
27/12/2023,GCB,0.00,,,,28/12/2023,SCB,0.00,,,,27/12/2023,SOGEGH,"950,277.04",,,,31/10/2023,ACCESS,0.00,,,,31/10/2023,CAL,"4,356.00"
22/12/2023,GCB,"7,140.00",,,,27/12/2023,SCB,"480,466.35",,,,22/12/2023,SOGEGH,312.00,,,,30/10/2023,ACCESS,0.00,,,,30/10/2023,CAL,"1,331.50"
21/12/2023,GCB,"753,953.40",,,,22/12/2023,SCB,"5,475.60",,,,21/12/2023,SOGEGH,15.60,,,,27/10/2023,ACCESS,0.00,,,,27/10/2023,CAL,"3,370.50"
20/12/2023,GCB,0.00,,,,21/12/2023,SCB,"8,579.17",,,,20/12/2023,SOGEGH,156.00,,,,26/10/2023,ACCESS,0.00,,,,26/10/2023,CAL,"2,000.00"
19/12/2023,GCB,"136,680.00",,,,20/12/2023,SCB,"1,140.75",,,,19/12/2023,SOGEGH,3.12,,,,25/10/2023,ACCESS,323.00,,,,25/10/2023,CAL,71.50
18/12/2023,GCB,"1,020.00",,,,19/12/2023,SCB,"2,948.40",,,,18/12/2023,SOGEGH,54.75,,,,24/10/2023,ACCESS,"1,190.00",,,,24/10/2023,CAL,"32,269.50"
15/12/2023,GCB,"182,875.80",,,,18/12/2023,SCB,"14,215.50",,,,15/12/2023,SOGEGH,"1,734.85",,,,23/10/2023,ACCESS,"60,645.80",,,,23/10/2023,CAL,1.00
14/12/2023,GCB,996.20,,,,15/12/2023,SCB,"20,656.35",,,,14/12/2023,SOGEGH,533.80,,,,20/10/2023,ACCESS,0.00,,,,20/10/2023,CAL,0.00
13/12/2023,GCB,"7,289.60",,,,14/12/2023,SCB,"23,639.85",,,,13/12/2023,SOGEGH,832.10,,,,19/10/2023,ACCESS,0.00,,,,19/10/2023,CAL,0.00
12/12/2023,GCB,"15,878.00",,,,13/12/2023,SCB,"1,755.00",,,,12/12/2023,SOGEGH,"6,402.46",,,,18/10/2023,ACCESS,"1,635.40",,,,18/10/2023,CAL,0.00
11/12/2023,GCB,"3,145.00",,,,12/12/2023,SCB,"11,653.20",,,,11/12/2023,SOGEGH,557.35,,,,17/10/2023,ACCESS,0.00,,,,17/10/2023,CAL,642.50
08/12/2023,GCB,"10,330,757.20",,,,11/12/2023,SCB,"19,778.85",,,,08/12/2023,SOGEGH,894.90,,,,16/10/2023,ACCESS,0.00,,,,16/10/2023,CAL,895.50
07/12/2023,GCB,"3,451,435.20",,,,08/12/2023,SCB,"2,088.45",,,,07/12/2023,SOGEGH,"4,710.00",,,,13/10/2023,ACCESS,27.20,,,,13/10/2023,CAL,"4,879.00"
06/12/2023,GCB,"31,655,046.50",,,,07/12/2023,SCB,0.00,,,,06/12/2023,SOGEGH,3.14,,,,12/10/2023,ACCESS,0.00,,,,12/10/2023,CAL,71.50
05/12/2023,GCB,"367,538.50",,,,06/12/2023,SCB,175.50,,,,05/12/2023,SOGEGH,15.60,,,,11/10/2023,ACCESS,0.00,,,,11/10/2023,CAL,0.00
04/12/2023,GCB,0.00,,,,05/12/2023,SCB,0.00,,,,04/12/2023,SOGEGH,737.90,,,,10/10/2023,ACCESS,"9,411.20",,,,10/10/2023,CAL,"1,499.50"
30/11/2023,GCB,"1,618,809.50",,,,04/12/2023,SCB,0.00,,,,30/11/2023,SOGEGH,0.00,,,,09/10/2023,ACCESS,620.00,,,,09/10/2023,CAL,0.00
29/11/2023,GCB,"297,566.50",,,,30/11/2023,SCB,0.00,,,,29/11/2023,SOGEGH,"3,455.57",,,,06/10/2023,ACCESS,"2,173.10",,,,06/10/2023,CAL,"9,460.00"
28/11/2023,GCB,0.00,,,,29/11/2023,SCB,0.00,,,,28/11/2023,SOGEGH,168.48,,,,05/10/2023,ACCESS,0.00,,,,05/10/2023,CAL,"22,235.50"
27/11/2023,GCB,0.00,,,,28/11/2023,SCB,"4,861.35",,,,27/11/2023,SOGEGH,9.42,,,,04/10/2023,ACCESS,0.00,,,,04/10/2023,CAL,"232,447.44"
24/11/2023,GCB,0.00,,,,27/11/2023,SCB,"39,803.40",,,,24/11/2023,SOGEGH,157.00,,,,03/10/2023,ACCESS,0.00,,,,03/10/2023,CAL,"5,313.88"
23/11/2023,GCB,"106,564.50",,,,24/11/2023,SCB,58.44,,,,23/11/2023,SOGEGH,"1,588.84",,,,02/10/2023,ACCESS,0.00,,,,02/10/2023,CAL,0.00
22/11/2023,GCB,"389,039.00",,,,23/11/2023,SCB,272.72,,,,22/11/2023,SOGEGH,0.00,,,,29/09/2023,ACCESS,0.00,,,,29/09/2023,CAL,"1,012.96"
21/11/2023,GCB,"1,050.00",,,,22/11/2023,SCB,58.44,,,,21/11/2023,SOGEGH,157.00,,,,28/09/2023,ACCESS,"4,154.00",,,,28/09/2023,CAL,828.88
20/11/2023,GCB,0.00,,,,21/11/2023,SCB,58.44,,,,20/11/2023,SOGEGH,344.76,,,,27/09/2023,ACCESS,0.00,,,,27/09/2023,CAL,"14,161.68"
17/11/2023,GCB,0.00,,,,20/11/2023,SCB,525.96,,,,17/11/2023,SOGEGH,15.70,,,,26/09/2023,ACCESS,0.00,,,,26/09/2023,CAL,"1,207.44"
16/11/2023,GCB,0.00,,,,17/11/2023,SCB,"2,045.40",,,,16/11/2023,SOGEGH,"3,370.79",,,,25/09/2023,ACCESS,"10,784.90",,,,25/09/2023,CAL,"11,453.52"
15/11/2023,GCB,0.00,,,,16/11/2023,SCB,954.52,,,,15/11/2023,SOGEGH,0.00,,,,22/09/2023,ACCESS,6.20,,,,22/09/2023,CAL,"2,119.70"
14/11/2023,GCB,"13,107.50",,,,15/11/2023,SCB,0.00,,,,14/11/2023,SOGEGH,70.65,,,,20/09/2023,ACCESS,0.00,,,,20/09/2023,CAL,"11,000.00"
13/11/2023,GCB,875.00,,,,14/11/2023,SCB,"20,298.16",,,,13/11/2023,SOGEGH,298.30,,,,19/09/2023,ACCESS,"73,969.10",,,,19/09/2023,CAL,"1,021.90"
10/11/2023,GCB,0.00,,,,13/11/2023,SCB,"1,948.00",,,,10/11/2023,SOGEGH,0.00,,,,18/09/2023,ACCESS,0.00,,,,18/09/2023,CAL,"1,042.25"
09/11/2023,GCB,"1,246.00",,,,10/11/2023,SCB,"1,558.40",,,,09/11/2023,SOGEGH,15.70,,,,15/09/2023,ACCESS,0.00,,,,15/09/2023,CAL,"3,312.10"
08/11/2023,GCB,700.00,,,,09/11/2023,SCB,0.00,,,,08/11/2023,SOGEGH,"4,757.10",,,,14/09/2023,ACCESS,"108,100.10",,,,14/09/2023,CAL,"4,934.05"
07/11/2023,GCB,"1,225.00",,,,08/11/2023,SCB,"31,771.88",,,,07/11/2023,SOGEGH,"3,932.85",,,,13/09/2023,ACCESS,269.70,,,,13/09/2023,CAL,"4,524.85"
06/11/2023,GCB,"2,555.00",,,,07/11/2023,SCB,389.60,,,,06/11/2023,SOGEGH,7.85,,,,12/09/2023,ACCESS,0.00,,,,12/09/2023,CAL,"11,745.36"
03/11/2023,GCB,630.00,,,,06/11/2023,SCB,0.00,,,,03/11/2023,SOGEGH,243.35,,,,11/09/2023,ACCESS,0.00,,,,11/09/2023,CAL,"3,671.40"
02/11/2023,GCB,0.00,,,,03/11/2023,SCB,974.00,,,,02/11/2023,SOGEGH,7.85,,,,08/09/2023,ACCESS,0.00,,,,08/09/2023,CAL,"1,519.20"
01/11/2023,GCB,0.00,,,,02/11/2023,SCB,"2,922.00",,,,01/11/2023,SOGEGH,109.90,,,,07/09/2023,ACCESS,0.00,,,,07/09/2023,CAL,"7,867.20"
31/10/2023,GCB,"3,500.00",,,,01/11/2023,SCB,0.00,,,,31/10/2023,SOGEGH,31.40,,,,06/09/2023,ACCESS,0.00,,,,06/09/2023,CAL,674.40
30/10/2023,GCB,"24,682.00",,,,31/10/2023,SCB,0.00,,,,30/10/2023,SOGEGH,47.10,,,,05/09/2023,ACCESS,310.00,,,,05/09/2023,CAL,4.20
27/10/2023,GCB,0.00,,,,30/10/2023,SCB,0.00,,,,27/10/2023,SOGEGH,172.70,,,,04/09/2023,ACCESS,0.00,,,,04/09/2023,CAL,"4,159.80"
26/10/2023,GCB,"22,603.00",,,,27/10/2023,SCB,0.00,,,,26/10/2023,SOGEGH,142.87,,,,01/09/2023,ACCESS,0.00,,,,01/09/2023,CAL,486.78
25/10/2023,GCB,350.00,,,,26/10/2023,SCB,"50,511.64",,,,25/10/2023,SOGEGH,"2,590.50",,,,30/08/2023,ACCESS,0.00,,,,30/08/2023,CAL,"8,764.48"
24/10/2023,GCB,"2,765.00",,,,25/10/2023,SCB,0.00,,,,24/10/2023,SOGEGH,693.94,,,,29/08/2023,ACCESS,0.00,,,,29/08/2023,CAL,698.70
23/10/2023,GCB,0.00,,,,24/10/2023,SCB,19.48,,,,23/10/2023,SOGEGH,157.00,,,,28/08/2023,ACCESS,0.00,,,,28/08/2023,CAL,"6,534.93"
20/10/2023,GCB,0.00,,,,23/10/2023,SCB,"6,175.16",,,,20/10/2023,SOGEGH,0.00,,,,25/08/2023,ACCESS,"92,070.80",,,,25/08/2023,CAL,"4,365.42"
19/10/2023,GCB,115.50,,,,20/10/2023,SCB,0.00,,,,19/10/2023,SOGEGH,"2,442.92",,,,24/08/2023,ACCESS,165.00,,,,24/08/2023,CAL,146.32
18/10/2023,GCB,525.00,,,,19/10/2023,SCB,"53,492.08",,,,18/10/2023,SOGEGH,7.85,,,,23/08/2023,ACCESS,120.00,,,,23/08/2023,CAL,"9,076.12"
17/10/2023,GCB,700.00,,,,18/10/2023,SCB,0.00,,,,17/10/2023,SOGEGH,"17,624.16",,,,22/08/2023,ACCESS,651.00,,,,22/08/2023,CAL,"1,342.72"
16/10/2023,GCB,"94,456.55",,,,17/10/2023,SCB,0.00,,,,16/10/2023,SOGEGH,360.00,,,,21/08/2023,ACCESS,0.00,,,,21/08/2023,CAL,"1,920.00"
13/10/2023,GCB,0.00,,,,16/10/2023,SCB,19.48,,,,13/10/2023,SOGEGH,"1,197.00",,,,18/08/2023,ACCESS,36.00,,,,18/08/2023,CAL,509.44
12/10/2023,GCB,"1,228.50",,,,13/10/2023,SCB,0.00,,,,12/10/2023,SOGEGH,550.50,,,,16/08/2023,ACCESS,"1,362.00",,,,16/08/2023,CAL,"5,811.84"
11/10/2023,GCB,"16,886.00",,,,12/10/2023,SCB,"38,960.00",,,,11/10/2023,SOGEGH,666.00,,,,15/08/2023,ACCESS,210.00,,,,15/08/2023,CAL,"2,624.00"
10/10/2023,GCB,"998,903.50",,,,11/10/2023,SCB,0.00,,,,10/10/2023,SOGEGH,189.60,,,,11/08/2023,ACCESS,"150,000.00",,,,11/08/2023,CAL,"6,664.96"
09/10/2023,GCB,7.00,,,,10/10/2023,SCB,0.00,,,,09/10/2023,SOGEGH,200.66,,,,10/08/2023,ACCESS,"1,312.00",,,,10/08/2023,CAL,289.28
06/10/2023,GCB,0.00,,,,09/10/2023,SCB,0.00,,,,06/10/2023,SOGEGH,"15,801.58",,,,09/08/2023,ACCESS,"17,944.88",,,,09/08/2023,CAL,253.44
05/10/2023,GCB,"2,443.00",,,,06/10/2023,SCB,0.00,,,,05/10/2023,SOGEGH,892.70,,,,08/08/2023,ACCESS,26.24,,,,08/08/2023,CAL,357.12
04/10/2023,GCB,"2,030,000.00",,,,05/10/2023,SCB,0.00,,,,04/10/2023,SOGEGH,244.90,,,,07/08/2023,ACCESS,"10,043.36",,,,07/08/2023,CAL,759.04
03/10/2023,GCB,70.00,,,,04/10/2023,SCB,0.00,,,,03/10/2023,SOGEGH,"5,457.32",,,,02/08/2023,ACCESS,0.00,,,,02/08/2023,CAL,"1,313.92"
02/10/2023,GCB,0.00,,,,03/10/2023,SCB,194.80,,,,02/10/2023,SOGEGH,"58,647.28",,,,01/08/2023,ACCESS,"13,149.52",,,,01/08/2023,CAL,476.80
29/09/2023,GCB,0.00,,,,02/10/2023,SCB,0.00,,,,29/09/2023,SOGEGH,246.48,,,,31/07/2023,ACCESS,0.00,,,,31/07/2023,CAL,640.00
28/09/2023,GCB,700.00,,,,29/09/2023,SCB,"2,279.16",,,,28/09/2023,SOGEGH,630.42,,,,28/07/2023,ACCESS,32.80,,,,28/07/2023,CAL,"3,280.64"
27/09/2023,GCB,525.00,,,,28/09/2023,SCB,0.00,,,,27/09/2023,SOGEGH,265.44,,,,27/07/2023,ACCESS,3.28,,,,27/07/2023,CAL,"2,403.84"
26/09/2023,GCB,"2,366.00",,,,27/09/2023,SCB,"31,187.86",,,,26/09/2023,SOGEGH,"6,166.74",,,,26/07/2023,ACCESS,6.56,,,,26/07/2023,CAL,"1,096.96"
25/09/2023,GCB,"178,297.00",,,,26/09/2023,SCB,0.00,,,,25/09/2023,SOGEGH,"1,301.92",,,,25/07/2023,ACCESS,239.44,,,,25/07/2023,CAL,"2,058.92"
22/09/2023,GCB,"259,017.50",,,,25/09/2023,SCB,0.00,,,,22/09/2023,SOGEGH,"5,547.38",,,,24/07/2023,ACCESS,0.00,,,,24/07/2023,CAL,0.00
20/09/2023,GCB,0.00,,,,22/09/2023,SCB,894.70,,,,20/09/2023,SOGEGH,"8,843.26",,,,21/07/2023,ACCESS,0.00,,,,21/07/2023,CAL,"2,152.20"
19/09/2023,GCB,490.00,,,,20/09/2023,SCB,"15,560.00",,,,19/09/2023,SOGEGH,"15,958.00",,,,20/07/2023,ACCESS,"106,718.00",,,,20/07/2023,CAL,314.40
18/09/2023,GCB,"36,779.53",,,,19/09/2023,SCB,"13,615.00",,,,18/09/2023,SOGEGH,0.00,,,,19/07/2023,ACCESS,0.00,,,,19/07/2023,CAL,"2,161.80"
15/09/2023,GCB,"2,456.88",,,,18/09/2023,SCB,"6,301.80",,,,15/09/2023,SOGEGH,173.80,,,,18/07/2023,ACCESS,"8,250.00",,,,18/07/2023,CAL,"3,453.60"
14/09/2023,GCB,"5,136.15",,,,15/09/2023,SCB,"21,407.00",,,,14/09/2023,SOGEGH,"4,092.20",,,,17/07/2023,ACCESS,0.00,,,,17/07/2023,CAL,"5,594.40"
13/09/2023,GCB,"47,877.39",,,,14/09/2023,SCB,"57,993.00",,,,13/09/2023,SOGEGH,0.00,,,,14/07/2023,ACCESS,"16,801.00",,,,14/07/2023,CAL,"1,120.20"
12/09/2023,GCB,"3,883.00",,,,13/09/2023,SCB,"10,034.00",,,,12/09/2023,SOGEGH,"13,182.40",,,,13/07/2023,ACCESS,"24,497.00",,,,13/07/2023,CAL,22.80
11/09/2023,GCB,"34,699.90",,,,12/09/2023,SCB,0.00,,,,11/09/2023,SOGEGH,"2,640.00",,,,12/07/2023,ACCESS,0.00,,,,12/07/2023,CAL,"231,429.74"
08/09/2023,GCB,10.59,,,,11/09/2023,SCB,0.00,,,,08/09/2023,SOGEGH,"5,665.20",,,,11/07/2023,ACCESS,"10,535.10",,,,11/07/2023,CAL,0.00
07/09/2023,GCB,"1,553.20",,,,08/09/2023,SCB,0.00,,,,07/09/2023,SOGEGH,240.00,,,,10/07/2023,ACCESS,25.20,,,,10/07/2023,CAL,"1,260.00"
06/09/2023,GCB,0.00,,,,07/09/2023,SCB,"13,961.10",,,,06/09/2023,SOGEGH,0.00,,,,07/07/2023,ACCESS,648.00,,,,07/07/2023,CAL,957.00
05/09/2023,GCB,0.00,,,,06/09/2023,SCB,0.00,,,,05/09/2023,SOGEGH,0.00,,,,06/07/2023,ACCESS,"18,077.20",,,,06/07/2023,CAL,0.60
04/09/2023,GCB,7.02,,,,05/09/2023,SCB,0.00,,,,04/09/2023,SOGEGH,0.00,,,,05/07/2023,ACCESS,"18,500.00",,,,05/07/2023,CAL,"24,903.00"
01/09/2023,GCB,0.00,,,,04/09/2023,SCB,0.00,,,,01/09/2023,SOGEGH,960.00,,,,04/07/2023,ACCESS,19.00,,,,04/07/2023,CAL,"182,682.00"
30/08/2023,GCB,0.00,,,,01/09/2023,SCB,"26,107.20",,,,30/08/2023,SOGEGH,"25,898.42",,,,03/07/2023,ACCESS,53.20,,,,03/07/2023,CAL,"3,317.40"
29/08/2023,GCB,"1,750.00",,,,30/08/2023,SCB,"19,413.90",,,,29/08/2023,SOGEGH,"31,851.36",,,,30/06/2023,ACCESS,7.60,,,,30/06/2023,CAL,"2,329.80"
28/08/2023,GCB,0.00,,,,29/08/2023,SCB,0.00,,,,28/08/2023,SOGEGH,"4,000.00",,,,29/06/2023,ACCESS,"38,049.74",,,,29/06/2023,CAL,724.80
25/08/2023,GCB,"855,179.50",,,,28/08/2023,SCB,"7,792.20",,,,25/08/2023,SOGEGH,"1,980.00",,,,27/06/2023,ACCESS,35.73,,,,27/06/2023,CAL,"422,746.80"
24/08/2023,GCB,0.00,,,,25/08/2023,SCB,"147,766.40",,,,24/08/2023,SOGEGH,"1,213.74",,,,26/06/2023,ACCESS,19.85,,,,26/06/2023,CAL,7.20
23/08/2023,GCB,"9,054.50",,,,24/08/2023,SCB,0.00,,,,23/08/2023,SOGEGH,"6,237.00",,,,23/06/2023,ACCESS,"7,516.64",,,,23/06/2023,CAL,431.40
22/08/2023,GCB,"6,611.50",,,,23/08/2023,SCB,"9,143.28",,,,22/08/2023,SOGEGH,"14,321.70",,,,22/06/2023,ACCESS,"21,847.50",,,,22/06/2023,CAL,"18,059.00"
21/08/2023,GCB,"2,037.00",,,,22/08/2023,SCB,"558,053.97",,,,21/08/2023,SOGEGH,0.00,,,,21/06/2023,ACCESS,0.00,,,,21/06/2023,CAL,41.89
18/08/2023,GCB,"885,143.00",,,,21/08/2023,SCB,"1,152,600.00",,,,18/08/2023,SOGEGH,"3,443.40",,,,20/06/2023,ACCESS,0.00,,,,20/06/2023,CAL,"14,785.93"
16/08/2023,GCB,57.80,,,,18/08/2023,SCB,"7,496.50",,,,16/08/2023,SOGEGH,"2,476.02",,,,19/06/2023,ACCESS,147.63,,,,19/06/2023,CAL,0.00
15/08/2023,GCB,64.60,,,,16/08/2023,SCB,0.00,,,,15/08/2023,SOGEGH,0.00,,,,16/06/2023,ACCESS,0.00,,,,16/06/2023,CAL,"1,609.44"
11/08/2023,GCB,"91,500.80",,,,15/08/2023,SCB,0.00,,,,11/08/2023,SOGEGH,810.00,,,,15/06/2023,ACCESS,51.87,,,,15/06/2023,CAL,"12,040.55"
10/08/2023,GCB,"2,380.00",,,,11/08/2023,SCB,"16,314.20",,,,10/08/2023,SOGEGH,"1,940.80",,,,14/06/2023,ACCESS,43.89,,,,14/06/2023,CAL,"24,196.95"
09/08/2023,GCB,"22,100.00",,,,10/08/2023,SCB,0.00,,,,09/08/2023,SOGEGH,0.00,,,,13/06/2023,ACCESS,43.89,,,,13/06/2023,CAL,0.00
08/08/2023,GCB,"5,497.80",,,,09/08/2023,SCB,0.00,,,,08/08/2023,SOGEGH,48.00,,,,12/06/2023,ACCESS,7.98,,,,12/06/2023,CAL,0.00
07/08/2023,GCB,66.00,,,,08/08/2023,SCB,0.00,,,,07/08/2023,SOGEGH,"1,302.52",,,,09/06/2023,ACCESS,19.95,,,,09/06/2023,CAL,0.00
