Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),35.62,35.67,20.38,19.67,0,0,0,0,0,0,0,0
2022,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),12.55,12.82,13.49,16.22,19.05,24.15,26.16,27.68,29.65,31.53,34.62,35.48
2021,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.09,13.55,13.02,12.81,12.78,12.65,12.56,12.49,12.47,12.46,12.48,12.49
2020,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.69,14.71,14.73,14.05,13.95,13.97,13.95,14.02,14.02,14.05,14.05,14.08
2019,Monthly Average 91-Day Treasury Bill  Interest rate Equivalent (%),14.65,14.71,14.71,14.7,14.85,14.78,14.73,14.72,14.69,14.69,14.69,14.69
