Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,Inter-Bank Exchange Rate - Month Average (GHC/GBP),15.1566,15.4398,16.1056,16.3112,17.4317,18.2184,,,,,,
2023,Inter-Bank Exchange Rate - Month Average (GHC/GBP),12.1349,13.1331,13.3799,13.6285,13.6188,13.8797,14.1733,13.9804,13.713,13.8013,14.3567,14.7448
2022,Inter-Bank Exchange Rate - Month Average (GHC/GBP),8.1501,8.5369,9.2829,9.1894,8.8663,8.8565,8.8682,9.6484,9.888,12.6356,15.3598,12.2393
2021,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.8542,7.9828,7.9365,7.9329,8.0839,8.0673,7.9926,8.0355,8.0491,8.0553,7.9464,7.9145
2020,Inter-Bank Exchange Rate - Month Average (GHC/GBP),7.2204,6.8954,6.6142,6.8451,6.9,7.066,7.1854,7.4652,7.3846,7.4076,7.5457,7.6876
2019,Inter-Bank Exchange Rate - Month Average (GHC/GBP),6.3142,6.5237,6.8237,6.6289,6.5582,6.6423,6.5538,6.4084,6.5527,6.7345,6.9414,7.261
