Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,Inter-Bank Exchange Rate - Month Average (GHC/US$),11.9344,12.2301,12.6674,13.0381,13.7823,14.3298,,,,,,
2023,Inter-Bank Exchange Rate - Month Average (GHC/US$),9.9094,10.8636,11.014,10.9456,10.9152,10.9836,11.002,11.0066,11.0629,11.3354,11.5494,11.6511
2022,Inter-Bank Exchange Rate - Month Average (GHC/US$),6.0104,6.3077,7.0465,7.1123,7.126,7.1908,7.3908,8.0588,8.7472,11.1671,13.073,10.0347
2021,Inter-Bank Exchange Rate - Month Average (GHC/US$),5.7608,5.7575,5.7275,5.7308,5.7333,5.7524,5.7848,5.8264,5.8592,5.8817,5.907,5.9469
2020,Inter-Bank Exchange Rate - Month Average (GHC/US$),5.5275,5.3194,5.3565,5.5151,5.6109,5.6427,5.6724,5.6815,5.6971,5.7054,5.712,5.7209
2019,Inter-Bank Exchange Rate - Month Average (GHC/US$),4.8947,5.0162,5.1797,5.0864,5.1083,5.2402,5.256,5.2712,5.3067,5.3235,5.3888,5.5377
