Daily Date,Share Code,Total Value Traded (GH¢)
23/03/2023,CAL,50
22/03/2023,CAL,"7,897.50"
21/03/2023,CAL,"5,450.00"
20/03/2023,CAL,636.5
17/03/2023,CAL,"17,653.50"
16/03/2023,CAL,980.5
15/03/2023,CAL,"12,932.00"
14/03/2023,CAL,"3,450.00"
13/03/2023,CAL,0
10/3/2023,CAL,"11,867.00"
9/3/2023,CAL,"10,914.50"
8/3/2023,CAL,"1,847.22"
7/3/2023,CAL,"6,722.82"
3/3/2023,CAL,"3,154.86"
2/3/2023,CAL,442.68
1/3/2023,CAL,"5,463.63"
28/02/2023,CAL,"12,236.94"
27/02/2023,CAL,"11,528.04"
24/02/2023,CAL,510
23/02/2023,CAL,"33,652.35"
22/02/2023,CAL,"4,047.87"
21/02/2023,CAL,990.93
20/02/2023,CAL,14.28
17/02/2023,CAL,"12,700.02"
16/02/2023,CAL,25.5
15/02/2023,CAL,"2,866.71"
14/02/2023,CAL,"1,613.13"
13/02/2023,CAL,"2,398.53"
10/2/2023,CAL,"15,427.65"
9/2/2023,CAL,"6,396.47"
8/2/2023,CAL,715.68
7/2/2023,CAL,"1,621.20"
6/2/2023,CAL,357.84
3/2/2023,CAL,248.08
1/2/2023,CAL,586.32
31/01/2023,CAL,391.44
30/01/2023,CAL,"1,675.52"
27/01/2023,CAL,"1,095.36"
26/01/2023,CAL,780.64
24/01/2023,CAL,"6,955.00"
23/01/2023,CAL,26.68
20/01/2023,CAL,"26,272.42"
19/01/2023,CAL,726.6
18/01/2023,CAL,"2,022.80"
17/01/2023,CAL,"2,382.00"
16/01/2023,CAL,"3,045.60"
13/01/2023,CAL,"1,919.40"
12/1/2023,CAL,568.2
11/1/2023,CAL,"82,221.20"
10/1/2023,CAL,391.95
9/1/2023,CAL,"1,961.76"
6/1/2023,CAL,"3,552.25"
5/1/2023,CAL,0
4/1/2023,CAL,230.75
3/1/2023,CAL,"12,624.30"
30/12/2022,CAL,"12,297.35"
29/12/2022,CAL,254.15
28/12/2022,CAL,650
23/12/2022,CAL,"23,056.80"
22/12/2022,CAL,"19,796.40"
21/12/2022,CAL,0
20/12/2022,CAL,0
19/12/2022,CAL,"4,043.65"
16/12/2022,CAL,"71,600.95"
15/12/2022,CAL,"9,361.36"
14/12/2022,CAL,"7,179.00"
13/12/2022,CAL,892
12/12/2022,CAL,657.58
9/12/2022,CAL,410.28
8/12/2022,CAL,953.16
7/12/2022,CAL,483.6
6/12/2022,CAL,24.18
5/12/2022,CAL,780
1/12/2022,CAL,9.48
30/11/2022,CAL,303.36
29/11/2022,CAL,129.6
28/11/2022,CAL,80
25/11/2022,CAL,232.8
24/11/2022,CAL,80
23/11/2022,CAL,0
22/11/2022,CAL,381.6
21/11/2022,CAL,287.2
18/11/2022,CAL,176.8
17/11/2022,CAL,260.8
16/11/2022,CAL,"2,715.20"
15/11/2022,CAL,259.2
14/11/2022,CAL,237.6
11/11/2022,CAL,220
10/11/2022,CAL,"1,106.40"
9/11/2022,CAL,"1,200.00"
8/11/2022,CAL,"14,128.00"
7/11/2022,CAL,"3,392.00"
4/11/2022,CAL,"2,378.66"
3/11/2022,CAL,"1,496.00"
2/11/2022,CAL,84
1/11/2022,CAL,268.8
31/10/2022,CAL,197.6
28/10/2022,CAL,"2,667.20"
28/10/2022,CAL,"2,667.20"
27/10/2022,CAL,106.4
26/10/2022,CAL,409.6
25/10/2022,CAL,193.6
24/10/2022,CAL,778.4
21/10/2022,CAL,292
20/10/2022,CAL,9.6
19/10/2022,CAL,"15,200.00"
18/10/2022,CAL,40
17/10/2022,CAL,275.2
14/10/2022,CAL,0
13/10/2022,CAL,"12,264.00"
12/10/2022,CAL,94.4
11/10/2022,CAL,"7,910.40"
10/10/2022,CAL,"5,072.00"
7/10/2022,CAL,"13,823.20"
6/10/2022,CAL,"1,760.00"
5/10/2022,CAL,520
4/10/2022,CAL,"3,200.00"
3/10/2022,CAL,"81,868.00"
30/09/2022,CAL,284.8
29/09/2022,CAL,441.6
28/09/2022,CAL,"4,088.12"
27/09/2022,CAL,"1,932.54"
23/09/2022,CAL,825.1
22/09/2022,CAL,"2,941.20"
20/09/2022,CAL,"4,974.28"
19/09/2022,CAL,856.92
16/09/2022,CAL,"2,199.28"
15/09/2022,CAL,"148,730.38"
14/09/2022,CAL,"293,937.62"
13/09/2022,CAL,"697,848.09"
12/9/2022,CAL,670.5
9/9/2022,CAL,"4,594.67"
8/9/2022,CAL,760.76
7/9/2022,CAL,"7,121.96"
6/9/2022,CAL,725.8
5/9/2022,CAL,622.7
2/9/2022,CAL,"11,482.08"
1/9/2022,CAL,"1,336.84"
31/08/2022,CAL,341.24
30/08/2022,CAL,100.32
29/08/2022,CAL,"2,212.36"
26/08/2022,CAL,"92,256.40"
25/08/2022,CAL,921.88
24/08/2022,CAL,"3,664.72"
23/08/2022,CAL,434.72
22/08/2022,CAL,"11,526.92"
19/08/2022,CAL,"6,148.40"
18/08/2022,CAL,867.92
17/08/2022,CAL,521.36
16/08/2022,CAL,"150,094.68"
15/08/2022,CAL,"25,975.28"
12/8/2022,CAL,509.96
11/8/2022,CAL,"66,092.64"
10/8/2022,CAL,"646,299.44"
9/8/2022,CAL,"2,590.00"
8/8/2022,CAL,"4,618.04"
5/8/2022,CAL,"77,505.75"
3/8/2022,CAL,"5,365.50"
2/8/2022,CAL,"3,749.25"
1/8/2022,CAL,"4,227.74"
29/07/2022,CAL,"2,279.20"
28/07/2022,CAL,"3,613.42"
27/07/2022,CAL,"4,828.50"
26/07/2022,CAL,"6,140.52"
25/07/2022,CAL,692.3
22/07/2022,CAL,"1,125.00"
21/07/2022,CAL,"8,135.96"
20/07/2022,CAL,"1,119.20"
19/07/2022,CAL,0
18/07/2022,CAL,"1,504.80"
14/07/2022,CAL,"2,245.60"
13/07/2022,CAL,"3,951.20"
12/7/2022,CAL,"1,794.40"
8/7/2022,CAL,"2,892.80"
7/7/2022,CAL,"2,189.60"
6/7/2022,CAL,"3,343.20"
5/7/2022,CAL,"16,814.40"
4/7/2022,CAL,"1,684.00"
1/7/2022,CAL,"3,940.80"
30/06/2022,CAL,274.4
29/06/2022,CAL,"1,319.20"
28/06/2022,CAL,"1,314.40"
27/06/2022,CAL,150.4
24/06/2022,CAL,363.2
23/06/2022,CAL,"1,587.20"
22/06/2022,CAL,960
20/06/2022,CAL,"12,144.80"
17/06/2022,CAL,"5,515.20"
16/06/2022,CAL,"1,668.80"
15/06/2022,CAL,"1,668.80"
14/06/2022,CAL,"1,176.80"
13/06/2022,CAL,"217,558.40"
10/6/2022,CAL,847.2
9/6/2022,CAL,0
8/6/2022,CAL,"147,960.00"
7/6/2022,CAL,"1,087.20"
6/6/2022,CAL,477.6
3/6/2022,CAL,"2,997.60"
2/6/2022,CAL,"62,595.20"
1/6/2022,CAL,"1,201,956.63"
31/05/2022,CAL,91.35
30/05/2022,CAL,"53,259.66"
27/05/2022,CAL,"3,202.47"
26/05/2022,CAL,"3,312.33"
25/05/2022,CAL,400.5
24/05/2022,CAL,394.2
23/05/2022,CAL,"18,747.14"
20/05/2022,CAL,837.2
19/05/2022,CAL,"16,096.08"
18/05/2022,CAL,"3,139.50"
17/05/2022,CAL,"54,398.70"
16/05/2022,CAL,"180,481.50"
13/05/2022,CAL,"70,135.05"
12/5/2022,CAL,"4,846.32"
11/5/2022,CAL,"5,250.00"
10/5/2022,CAL,"2,619.00"
9/5/2022,CAL,"18,968.40"
6/5/2022,CAL,"12,913.20"
5/5/2022,CAL,"90,081.00"
4/5/2022,CAL,"234,122.40"
29/04/2022,CAL,"1,028.70"
28/04/2022,CAL,617.4
27/04/2022,CAL,"17,957.70"
26/04/2022,CAL,"5,563.80"
25/04/2022,CAL,"18,057.60"
22/04/2022,CAL,0
21/04/2022,CAL,423.12
20/04/2022,CAL,"2,074.32"
19/04/2022,CAL,103.2
14/04/2022,CAL,"90,432.44"
13/04/2022,CAL,589.96
12/4/2022,CAL,"430,020.64"
11/4/2022,CAL,39.56
8/4/2022,CAL,"25,296.04"
7/4/2022,CAL,"568,863.42"
6/4/2022,CAL,"15,060.32"
5/4/2022,CAL,"1,040.60"
4/4/2022,CAL,"69,722.78"
1/4/2022,CAL,"178,243.60"
31/03/2022,CAL,866.88
30/03/2022,CAL,"4,950.16"
29/03/2022,CAL,"1,135.20"
28/03/2022,CAL,"10,749.62"
25/03/2022,CAL,"114,471.20"
24/03/2022,CAL,"689,326.20"
23/03/2022,CAL,"2,125.00"
22/03/2022,CAL,"1,150.90"
21/03/2022,CAL,"29,140.55"
18/03/2022,CAL,"1,978.20"
17/03/2022,CAL,"4,456.20"
16/03/2022,CAL,"6,841.80"
15/03/2022,CAL,"426,104.28"
14/03/2022,CAL,"3,217.20"
11/3/2022,CAL,"1,629.18"
10/3/2022,CAL,"50,627.64"
9/3/2022,CAL,"9,531.90"
8/3/2022,CAL,"1,045.50"
4/3/2022,CAL,"1,508,670.95"
3/3/2022,CAL,"1,402.50"
2/3/2022,CAL,"183,513.30"
1/3/2022,CAL,"1,763.75"
28/02/2022,CAL,"60,622.28"
25/02/2022,CAL,"51,946.18"
24/02/2022,CAL,"158,481.25"
23/02/2022,CAL,"36,963.95"
22/02/2022,CAL,"8,678.50"
21/02/2022,CAL,"17,298.35"
18/02/2022,CAL,"8,589.25"
17/02/2022,CAL,"38,703.90"
16/02/2022,CAL,"59,764.35"
15/02/2022,CAL,355.3
14/02/2022,CAL,"509,983.00"
11/2/2022,CAL,"6,040.10"
10/2/2022,CAL,0
9/2/2022,CAL,"8,500.00"
