GPRH,,,,,,,,,,,,,,,,,,,,,,
52.97,,,,,,,,,,,,,,,,,,,,,,
54.46,,,,,,,,,,,,,,,,,,,,,,
39.38,,,,,,,,,,,,,,,,,,,,,,
39.66,,,,,,,,,,,,,,,,,,,,,,
60.20,,,,,,,,,,,,,,,,,,,,,,
50.01,,,,,,,,,,,,,,,,,,,,,,
39.58,,,,,,,,,,,,,,,,,,,,,,
32.60,,,,,,,,,,,,,,,,,,,,,,
44.67,,,,,,,,,,,,,,,,,,,,,,
58.18,,,,,,,,,,,,,,,,,,,,,,
36.52,,,,,,,,,,,,,,,,,,,,,,
39.06,,,,,,,,,,,,,,,,,,,,,,
38.04,,,,,,,,,,,,,,,,,,,,,,
33.47,,,,,,,,,,,,,,,,,,,,,,
41.96,,,,,,,,,,,,,,,,,,,,,,
38.07,,,,,,,,,,,,,,,,,,,,,,
46.70,,,,,,,,,,,,,,,,,,,,,,
52.24,,,,,,,,,,,,,,,,,,,,,,
50.58,,,,,,,,,,,,,,,,,,,,,,
48.40,,,,,,,,,,,,,,,,,,,,,,
289.94,,,,,,,,,,,,,,,,,,,,,,
303.59,,,,,,,,,,,,,,,,,,,,,,
215.27,,,,,,,,,,,,,,,,,,,,,,
179.28,,,,,,,,,,,,,,,,,,,,,,
131.62,,,,,,,,,,,,,,,,,,,,,,
106.10,,,,,,,,,,,,,,,,,,,,,,
112.15,,,,,,,,,,,,,,,,,,,,,,
114.57,,,,,,,,,,,,,,,,,,,,,,
118.06,,,,,,,,,,,,,,,,,,,,,,
107.95,,,,,,,,,,,,,,,,,,,,,,
90.22,,,,,,,,,,,,,,,,,,,,,,
88.44,,,,,,,,,,,,,,,,,,,,,,
111.66,,,,,,,,,,,,,,,,,,,,,,
119.17,,,,,,,,,,,,,,,,,,,,,,
117.24,,,,,,,,,,,,,,,,,,,,,,
116.27,,,,,,,,,,,,,,,,,,,,,,
136.64,,,,,,,,,,,,,,,,,,,,,,
140.88,,,,,,,,,,,,,,,,,,,,,,
244.57,,,,,,,,,,,,,,,,,,,,,,
209.31,,,,,,,,,,,,,,,,,,,,,,
131.40,,,,,,,,,,,,,,,,,,,,,,
126.88,,,,,,,,,,,,,,,,,,,,,,
119.36,,,,,,,,,,,,,,,,,,,,,,
112.95,,,,,,,,,,,,,,,,,,,,,,
102.62,,,,,,,,,,,,,,,,,,,,,,
94.60,,,,,,,,,,,,,,,,,,,,,,
95.35,,,,,,,,,,,,,,,,,,,,,,
109.33,,,,,,,,,,,,,,,,,,,,,,
97.68,,,,,,,,,,,,,,,,,,,,,,
98.96,,,,,,,,,,,,,,,,,,,,,,
105.25,,,,,,,,,,,,,,,,,,,,,,
121.13,,,,,,,,,,,,,,,,,,,,,,
105.24,,,,,,,,,,,,,,,,,,,,,,
125.61,,,,,,,,,,,,,,,,,,,,,,
121.09,,,,,,,,,,,,,,,,,,,,,,
120.91,,,,,,,,,,,,,,,,,,,,,,
133.37,,,,,,,,,,,,,,,,,,,,,,
105.10,,,,,,,,,,,,,,,,,,,,,,
107.29,,,,,,,,,,,,,,,,,,,,,,
86.83,,,,,,,,,,,,,,,,,,,,,,
80.84,,,,,,,,,,,,,,,,,,,,,,
90.26,,,,,,,,,,,,,,,,,,,,,,
72.86,,,,,,,,,,,,,,,,,,,,,,
76.22,,,,,,,,,,,,,,,,,,,,,,
82.19,,,,,,,,,,,,,,,,,,,,,,
71.13,,,,,,,,,,,,,,,,,,,,,,
122.32,,,,,,,,,,,,,,,,,,,,,,
92.73,,,,,,,,,,,,,,,,,,,,,,
82.55,,,,,,,,,,,,,,,,,,,,,,
76.85,,,,,,,,,,,,,,,,,,,,,,
67.84,,,,,,,,,,,,,,,,,,,,,,
86.67,,,,,,,,,,,,,,,,,,,,,,
80.46,,,,,,,,,,,,,,,,,,,,,,
77.15,,,,,,,,,,,,,,,,,,,,,,
81.51,,,,,,,,,,,,,,,,,,,,,,
71.69,,,,,,,,,,,,,,,,,,,,,,
77.80,,,,,,,,,,,,,,,,,,,,,,
83.39,,,,,,,,,,,,,,,,,,,,,,
106.80,,,,,,,,,,,,,,,,,,,,,,
106.37,,,,,,,,,,,,,,,,,,,,,,
99.57,,,,,,,,,,,,,,,,,,,,,,
91.67,,,,,,,,,,,,,,,,,,,,,,
75.49,,,,,,,,,,,,,,,,,,,,,,
80.43,,,,,,,,,,,,,,,,,,,,,,
94.14,,,,,,,,,,,,,,,,,,,,,,
88.55,,,,,,,,,,,,,,,,,,,,,,
74.79,,,,,,,,,,,,,,,,,,,,,,
73.93,,,,,,,,,,,,,,,,,,,,,,
88.08,,,,,,,,,,,,,,,,,,,,,,
92.16,,,,,,,,,,,,,,,,,,,,,,
96.17,,,,,,,,,,,,,,,,,,,,,,
70.60,,,,,,,,,,,,,,,,,,,,,,
88.09,,,,,,,,,,,,,,,,,,,,,,
94.44,,,,,,,,,,,,,,,,,,,,,,
76.52,,,,,,,,,,,,,,,,,,,,,,
80.96,,,,,,,,,,,,,,,,,,,,,,
80.72,,,,,,,,,,,,,,,,,,,,,,
79.34,,,,,,,,,,,,,,,,,,,,,,
67.83,,,,,,,,,,,,,,,,,,,,,,
68.30,,,,,,,,,,,,,,,,,,,,,,
65.24,,,,,,,,,,,,,,,,,,,,,,
