Date,GCB Profit from Dollar,GCB Profit from Euro,GCB Profit from Pound,CAL Profit from Dollar,CAL Profit from Euro,CAL Profit from Pound,Access Profit from Dollar,Access Profit from Euro,Access Profit from Pound,SCB Profit from Dollar,SCB Profit from Euro,SCB Profit from Pound,SOGEGH Profit from Dollar,SOGEGH Profit from Euro,SOGEGH Profit from Pound
2019-02-01,386.6679725008701,291.367540452496,516.8371171328133,455.14654115676353,342.9684837474055,608.3685304551664,15.191533699716093,11.447340158946119,20.30566025783162,1212.0402573191468,913.3137829347772,1620.0653713059503,696.6708276298887,524.9652931910947,931.2003262487755
2019-03-01,1554.400272467203,1360.800614481748,2193.0433879546868,423.8607611339252,371.0691476464064,598.0087986878608,2.5423627447071437,2.225712930261971,3.586921532259298,931.668873350343,815.630052184911,1314.4556769931164,133.90591981978363,117.22801468908645,188.92269724236232
2019-04-01,-9194.74769291661,-12129.962224746716,-14572.424271289736,-30.302641079599304,-39.976071544493145,-48.02556384366242,-0.0,-0.0,-0.0,-221.19495984323493,-291.806430889864,-350.5639207468081,-19.208664594474648,-25.340594837453185,-30.443120301302745
2019-05-01,497.78187547577585,32.36977056662355,-1233.0577627147666,43.6452722632901,2.8381657088864247,-108.1139037427013,0.0,0.0,-0.0,38.24706865366446,2.487131207783934,-94.74198886693019,25.339234315036038,1.6477602771849948,-62.767933331321295
2019-06-01,1541.5344667227832,2136.8943571323666,765.5898682626229,692.8162079458914,960.3904922326047,344.081226090996,36.5838875927412,50.713042521255524,18.169073924247265,1637.8075183681444,2270.349265372107,813.4030534475814,197.15888768866338,273.3041159021735,97.91727016864253
2019-07-01,148.88534597916447,-220.17411836238085,-657.911555485295,7.745008217243793,-11.453446574787057,-34.22452606025002,4.533740078623056,-6.704570004053426,-20.03420798518574,42.02891298805484,-62.15305342521207,-185.7221564518304,32.83985677264301,-48.56412472638775,-145.11650632311014
2019-08-01,121.32092846271371,-245.542676099353,-930.7192926241249,24.8937595129385,-50.382736156352706,-190.97366413378467,3.000036377473473,-6.071804509364932,-23.01492224358384,121.69116471842149,-246.29200106881558,-933.5595777289496,26.668304566211017,-53.97425615838861,-204.5871711983884
2019-09-01,1702.0935809018918,-784.9568044949278,5690.904460565803,50.94908654575837,-23.496259321830546,170.34691108544982,4.90926639095465,-2.2640130377650647,16.41400115473436,128.06571795796097,-59.060240789089754,428.1843100461881,8.734918045226944,-4.028293998190945,29.20496535796758
2019-10-01,294.2114618124171,684.075518513429,2578.388980405032,1172.8274462999257,2726.958829244842,10278.339752053384,0.2667539374752592,0.620233613502903,2.3377587284630836,61.66858789077776,143.3865661708028,540.4466789811851,15.502004590422969,36.04394527277927,135.85533875501744
2019-11-01,362.4161861576033,342.4141553418175,907.7093235919535,838.9697927528886,792.6663982327024,2101.2877795768095,0.9935756551141173,0.9387394429622549,2.488514366322671,3410.5319639992504,3222.3020558227154,8542.034766582537,89.70393538085851,84.75310551090087,224.6729081594777
2019-12-01,2038.6492991853518,2522.1779026608965,3397.031618376704,2451.2396658458338,3032.626809227446,4084.537076791435,5.559724511950725,6.878384778847307,9.264251563085278,154.3166243393709,190.91757472828434,257.14008404068403,285.7303215094276,353.500086218483,476.1166802374172
2020-01-01,-288.5288632212016,-664.0980350902964,-875.8870679768709,-1.3810890622461005,-3.178810335585655,-4.192572056190646,-0.15787887751232937,-0.36338497011239457,-0.4792729073130467,-359.11176120050925,-826.5565265414654,-1090.1555708580188,-23.469217519909694,-54.0183781479423,-71.24550345407035
2020-02-01,-37.57282677521479,-53.4953917426553,-44.92133399811636,-1376.3607878787864,-1959.633220233919,-1645.5499349066504,-0.0,-0.0,-0.0,-1133.585737132518,-1613.9752658108075,-1355.2928508115867,-165.7609208502938,-236.0068740518407,-198.180502465237
2020-03-01,392.7257799469822,1073.4405796749238,-2296.328426516226,350.86304216452595,959.016816819209,-2051.5505186472124,0.14613190209421956,0.39942352069221126,-0.8544558517272378,46.425432398390285,126.89501328920845,-271.45668956115645,17.38702373199966,47.52409387593296,-101.6646191489978
2020-04-01,41.68635116213974,19.502902423760574,49.149422454718675,1082.5023672174068,506.44725318403846,1276.3018271295102,6.499150564734478,3.0406187101466333,7.662687853406313,293.7664909922544,137.43825135733934,346.35925108100776,7.621327359283164,3.5656275899396053,8.985766986181252
2020-05-01,535.8659617957978,625.3009702295574,247.42102474032333,369.21986158365274,430.8419532798386,170.47687858614063,0.0,0.0,0.0,42.52113511269068,49.61783157885972,19.632937287986877,63.239561799423505,73.79412422007965,29.199087645176622
2020-06-01,1678.2180933539992,11484.770443285282,7123.817826086906,76.55919058974459,523.9275709926895,324.98381994202674,0.0,0.0,0.0,382.88998367106694,2620.2813477639447,1625.318247913032,12.356525359567923,84.56103398793246,52.45184518840543
2020-07-01,396.22181652932125,1741.8638741834461,1272.036549994337,124.89970217449097,549.0820294038949,400.97990474384306,0.0,0.0,0.0,23.41631646552183,102.9424277416614,75.17609876026027,7.505662182997504,32.9962694202648,24.096292103028546
2020-08-01,493.22850417816477,10637.91224278835,11972.101317087434,579.700593223373,12502.935222849583,14071.03234475465,0.0,0.0,0.0,13.042627459277531,281.3023277281189,316.5827928855737,7.066280586701075,152.4049646917645,171.5193392156318
2020-09-01,33.52617650268368,-16.885970088330684,-131.83054095000836,20.351788281263467,-10.250488543897774,-80.02664002571953,0.0,-0.0,-0.0,161.75974158232634,-81.47276077355903,-636.0663953142597,5.911869245797683,-2.977603104925216,-23.24645999035531
