Encoded Feature
policy_state_IL
policy_state_IN
policy_state_OH
insured_sex_FEMALE
insured_sex_MALE
insured_occupation_adm-clerical
insured_occupation_armed-forces
insured_occupation_craft-repair
insured_occupation_exec-managerial
insured_occupation_farming-fishing
insured_occupation_handlers-cleaners
insured_occupation_machine-op-inspct
insured_occupation_other-service
insured_occupation_priv-house-serv
insured_occupation_prof-specialty
insured_occupation_protective-serv
insured_occupation_sales
insured_occupation_tech-support
insured_occupation_transport-moving
auto_make_Accura
auto_make_Audi
auto_make_BMW
auto_make_Chevrolet
auto_make_Dodge
auto_make_Ford
auto_make_Honda
auto_make_Jeep
auto_make_Mercedes
auto_make_Nissan
auto_make_Saab
auto_make_Suburu
auto_make_Toyota
auto_make_Volkswagen
auto_model_3 Series
auto_model_92x
auto_model_93
auto_model_95
auto_model_A3
auto_model_A5
auto_model_Accord
auto_model_C300
auto_model_CRV
auto_model_Camry
auto_model_Civic
auto_model_Corolla
auto_model_E400
auto_model_Escape
auto_model_F150
auto_model_Forrestor
auto_model_Fusion
auto_model_Grand Cherokee
auto_model_Highlander
auto_model_Impreza
auto_model_Jetta
auto_model_Legacy
auto_model_M5
auto_model_MDX
auto_model_ML350
auto_model_Malibu
auto_model_Maxima
auto_model_Neon
auto_model_Passat
auto_model_Pathfinder
auto_model_RAM
auto_model_RSX
auto_model_Silverado
auto_model_TL
auto_model_Tahoe
auto_model_Ultima
auto_model_Wrangler
auto_model_X5
auto_model_X6
